name,capital,population
Alabama,Montgomery,4849377
Alaska,Juneau,736732
Arizona,Phoenix,6731484
Arkansas,Little Rock,2966369
California,Sacramento,38802500
Colorado,Denver,5355866
Connecticut,Hartford,3596677
Delaware,Dover,935614
Hawaii,Honolulu,1419561
Florida,Tallahassee,19893297
Georgia,Atlanta,10097343
Idaho,Boise,1634464
Illinois,Springfield,12880580
Indiana,Indianapolis,6596855
Iowa,Des Moines,3107126
Kansas,Topeka,2904021
Kentucky,Frankfort,4413457
Louisiana,Baton Rouge,4649676
Maine,Augusta,1330089
Maryland,Annapolis,5976407
Massachusetts,Boston,6745408
Michigan,Lansing,9909877
Minnesota,St. Paul,5457173
Mississippi,Jackson,2994079
Missouri,Jefferson City,6063589
Montana,Helena,1023579
Nebraska,Lincoln,1881503
Nevada,Carson City,2839099
New Hampshire,Concord,1326813
New Jersey,Trenton,8938175
New Mexico,Santa Fe,2085572
North Carolina,Raleigh,19746227
North Dakota,Bismarck,9943964
New York,Albany,739482
Ohio,Columbus,11594163
Oklahoma,Oklahoma City,3878051
Oregon,Salem,3970239
Pennsylvania,Harrisburg,12787209
Rhode Island,Providence,1055173
South Carolina,Columbia,4832482
South Dakota,Pierre,853175
Tennessee,Nashville,6549352
Texas,Austin,26956958
Utah,Salt Lake City,2942902
Vermont,Montpelier,626562
Virginia,Richmond,8326289
Washington,Olympia,7061530
West Virginia,Charleston,1850326
Wisconsin,Madison,5757564
Wyoming,Cheyenne,584153
